Set,Connection Name,FlexDeploy Variable Name,Data Value,Attachment
Y,MAXIMO_EGY_INV_SOAP.connection.WSDL URL=,FD_OIC_MAX_EGY_INV_URL,,
N,MAXIMO_EGY_INV_SOAP.connection.Service WSDL=,,,
N,MAXIMO_EGY_INV_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_EGY_INV_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_EGY_INV_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_EGY_INV_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_EGY_INV_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_EGY_INV_SOAP.agentDefinition=,FD_OIC_CMN_EGY_AGENT,,
N,,,,
Y,MAXIMO_EGY_JRL_CTL_SOAP.connection.WSDL URL=,FD_OIC_MAX_EGY_JRL_CTL_URL,,
N,MAXIMO_EGY_JRL_CTL_SOAP.connection.Service WSDL=,,,
N,MAXIMO_EGY_JRL_CTL_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_EGY_JRL_CTL_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_EGY_JRL_CTL_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_EGY_JRL_CTL_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_EGY_JRL_CTL_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_EGY_JRL_CTL_SOAP.agentDefinition=,FD_OIC_CMN_EGY_AGENT,,
N,,,,
Y,MAXIMO_EGY_JRL_LN_SOAP.connection.WSDL URL=,FD_OIC_MAX_EGY_JRL_LN_URL,,
N,MAXIMO_EGY_JRL_LN_SOAP.connection.Service WSDL=,,,
N,MAXIMO_EGY_JRL_LN_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_EGY_JRL_LN_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_EGY_JRL_LN_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_EGY_JRL_LN_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_EGY_JRL_LN_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_EGY_JRL_LN_SOAP.agentDefinition=,FD_OIC_CMN_EGY_AGENT,,
N,,,,
Y,MAXIMO_EGY_JRL_QRY_SOAP.connection.WSDL URL=,FD_OIC_MAX_EGY_JRL_QRY_URL,,
N,MAXIMO_EGY_JRL_QRY_SOAP.connection.Service WSDL=,,,
N,MAXIMO_EGY_JRL_QRY_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_EGY_JRL_QRY_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_EGY_JRL_QRY_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_EGY_JRL_QRY_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_EGY_JRL_QRY_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_EGY_JRL_QRY_SOAP.agentDefinition=,FD_OIC_CMN_EGY_AGENT,,
N,,,,
Y,MAXIMO_EGY_VDR_SOAP.connection.WSDL URL=,FD_OIC_MAX_EGY_VDR_URL,,
N,MAXIMO_EGY_VDR_SOAP.connection.Service WSDL=,,,
N,MAXIMO_EGY_VDR_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_EGY_VDR_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_EGY_VDR_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_EGY_VDR_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_EGY_VDR_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_EGY_VDR_SOAP.agentDefinition=,FD_OIC_CMN_EGY_AGENT,,
N,,,,
Y,MAXIMO_GEI_COA_SOAP.connection.WSDL URL=,FD_OIC_MAX_GEI_COA_URL,,
N,MAXIMO_GEI_COA_SOAP.connection.Service WSDL=,,,
N,MAXIMO_GEI_COA_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_GEI_COA_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_GEI_COA_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_GEI_COA_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_GEI_COA_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_GEI_COA_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_GEI_COA_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_GEI_COA_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_GEI_FXR_SOAP.connection.WSDL URL=,FD_OIC_MAX_GEI_FXR_URL,,
N,MAXIMO_GEI_FXR_SOAP.connection.Service WSDL=,,,
N,MAXIMO_GEI_FXR_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_GEI_FXR_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_GEI_FXR_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_GEI_FXR_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_GEI_FXR_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_GEI_FXR_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_GEI_FXR_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_GEI_FXR_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_GEI_GLC_SOAP.connection.WSDL URL=,FD_OIC_MAX_GEI_GLC_URL,,
N,MAXIMO_GEI_GLC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_GEI_GLC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_GEI_GLC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_GEI_GLC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_GEI_GLC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_GEI_GLC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_GEI_GLC_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_GEI_GLC_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_GEI_GLC_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_GEI_INC_SOAP.connection.WSDL URL=,FD_OIC_MAX_GEI_INC_URL,,
N,MAXIMO_GEI_INC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_GEI_INC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_GEI_INC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_GEI_INC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_GEI_INC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_GEI_INC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_GEI_INC_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_GEI_INC_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_GEI_INC_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_GEI_INV_SOAP.connection.WSDL URL=,FD_OIC_MAX_GEI_INV_URL,,
N,MAXIMO_GEI_INV_SOAP.connection.Service WSDL=,,,
N,MAXIMO_GEI_INV_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_GEI_INV_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_GEI_INV_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_GEI_INV_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_GEI_INV_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_GEI_INV_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_GEI_INV_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_GEI_INV_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_GEI_JRL_CTL_SOAP.connection.WSDL URL=,FD_OIC_MAX_GEI_JRL_CTL_URL,,
N,MAXIMO_GEI_JRL_CTL_SOAP.connection.Service WSDL=,,,
N,MAXIMO_GEI_JRL_CTL_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_GEI_JRL_CTL_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_GEI_JRL_CTL_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_GEI_JRL_CTL_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_GEI_JRL_CTL_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_GEI_JRL_CTL_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_GEI_JRL_CTL_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_GEI_JRL_CTL_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_GEI_JRL_LN_SOAP.connection.WSDL URL=,FD_OIC_MAX_GEI_JRL_LN_URL,,
N,MAXIMO_GEI_JRL_LN_SOAP.connection.Service WSDL=,,,
N,MAXIMO_GEI_JRL_LN_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_GEI_JRL_LN_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_GEI_JRL_LN_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_GEI_JRL_LN_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_GEI_JRL_LN_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_GEI_JRL_LN_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_GEI_JRL_LN_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_GEI_JRL_LN_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_GEI_JRL_QRY_SOAP.connection.WSDL URL=,FD_OIC_MAX_GEI_JRL_QRY_URL,,
N,MAXIMO_GEI_JRL_QRY_SOAP.connection.Service WSDL=,,,
N,MAXIMO_GEI_JRL_QRY_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_GEI_JRL_QRY_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_GEI_JRL_QRY_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_GEI_JRL_QRY_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_GEI_JRL_QRY_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_GEI_JRL_QRY_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_GEI_JRL_QRY_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_GEI_JRL_QRY_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_GEI_VDR_SOAP.connection.WSDL URL=,FD_OIC_MAX_GEI_VDR_URL,,
N,MAXIMO_GEI_VDR_SOAP.connection.Service WSDL=,,,
N,MAXIMO_GEI_VDR_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_GEI_VDR_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_GEI_VDR_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_GEI_VDR_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_GEI_VDR_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_GEI_VDR_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_GEI_VDR_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_GEI_VDR_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_MHT_COA_SOAP.connection.WSDL URL=,FD_OIC_MAX_MHT_COA_URL,,
N,MAXIMO_MHT_COA_SOAP.connection.Service WSDL=,,,
N,MAXIMO_MHT_COA_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_MHT_COA_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_MHT_COA_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_MHT_COA_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_MHT_COA_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_MHT_COA_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_MHT_COA_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_MHT_COA_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_MHT_FXR_SOAP.connection.WSDL URL=,FD_OIC_MAX_MHT_FXR_URL,,
N,MAXIMO_MHT_FXR_SOAP.connection.Service WSDL=,,,
N,MAXIMO_MHT_FXR_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_MHT_FXR_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_MHT_FXR_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_MHT_FXR_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_MHT_FXR_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_MHT_FXR_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_MHT_FXR_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_MHT_FXR_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_MHT_GLC_SOAP.connection.WSDL URL=,FD_OIC_MAX_MHT_GLC_URL,,
N,MAXIMO_MHT_GLC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_MHT_GLC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_MHT_GLC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_MHT_GLC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_MHT_GLC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_MHT_GLC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_MHT_GLC_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_MHT_GLC_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_MHT_GLC_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_MHT_INC_SOAP.connection.WSDL URL=,FD_OIC_MAX_MHT_INC_URL,,
N,MAXIMO_MHT_INC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_MHT_INC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_MHT_INC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_MHT_INC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_MHT_INC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_MHT_INC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_MHT_INC_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_MHT_INC_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_MHT_INC_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_MHT_INV_SOAP.connection.WSDL URL=,FD_OIC_MAX_MHT_INV_URL,,
N,MAXIMO_MHT_INV_SOAP.connection.Service WSDL=,,,
N,MAXIMO_MHT_INV_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_MHT_INV_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_MHT_INV_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_MHT_INV_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_MHT_INV_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_MHT_INV_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_MHT_INV_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_MHT_INV_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_MHT_JRL_CTL_SOAP.connection.WSDL URL=,FD_OIC_MAX_MHT_JRL_CTL_URL,,
N,MAXIMO_MHT_JRL_CTL_SOAP.connection.Service WSDL=,,,
N,MAXIMO_MHT_JRL_CTL_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_MHT_JRL_CTL_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_MHT_JRL_CTL_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_MHT_JRL_CTL_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_MHT_JRL_CTL_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_MHT_JRL_CTL_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_MHT_JRL_CTL_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_MHT_JRL_CTL_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_MHT_JRL_LN_SOAP.connection.WSDL URL=,FD_OIC_MAX_MHT_JRL_LN_URL,,
N,MAXIMO_MHT_JRL_LN_SOAP.connection.Service WSDL=,,,
N,MAXIMO_MHT_JRL_LN_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_MHT_JRL_LN_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_MHT_JRL_LN_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_MHT_JRL_LN_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_MHT_JRL_LN_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_MHT_JRL_LN_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_MHT_JRL_LN_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_MHT_JRL_LN_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_MHT_JRL_QRY_SOAP.connection.WSDL URL=,FD_OIC_MAX_MHT_JRL_QRY_URL,,
N,MAXIMO_MHT_JRL_QRY_SOAP.connection.Service WSDL=,,,
N,MAXIMO_MHT_JRL_QRY_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_MHT_JRL_QRY_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_MHT_JRL_QRY_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_MHT_JRL_QRY_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_MHT_JRL_QRY_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_MHT_JRL_QRY_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_MHT_JRL_QRY_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_MHT_JRL_QRY_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_MHT_VDR_SOAP.connection.WSDL URL=,FD_OIC_MAX_MHT_VDR_URL,,
N,MAXIMO_MHT_VDR_SOAP.connection.Service WSDL=,,,
N,MAXIMO_MHT_VDR_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_MHT_VDR_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_MHT_VDR_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_MHT_VDR_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_MHT_VDR_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_MHT_VDR_SOAP.secure.Username=,FD_OIC_MAX_PROD_USER,,
Y,MAXIMO_MHT_VDR_SOAP.secure.Password=,FD_OIC_MAX_PROD_PASS,,
Y,MAXIMO_MHT_VDR_SOAP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,MAXIMO_NZL_COA_SOAP.connection.WSDL URL=,FD_OIC_MAX_NZL_COA_URL,,
N,MAXIMO_NZL_COA_SOAP.connection.Service WSDL=,,,
N,MAXIMO_NZL_COA_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_NZL_COA_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_NZL_COA_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_NZL_COA_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_NZL_COA_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_NZL_COA_SOAP.secure.Username=,FD_OIC_CMN_MAX_USER,,
Y,MAXIMO_NZL_COA_SOAP.secure.Password=,FD_OIC_CMN_MAX_PASS,,
Y,MAXIMO_NZL_COA_SOAP.agentDefinition=,FD_OIC_CMN_NZL_AGENT,,
N,,,,
Y,MAXIMO_NZL_FXR_SOAP.connection.WSDL URL=,FD_OIC_MAX_NZL_FXR_URL,,
N,MAXIMO_NZL_FXR_SOAP.connection.Service WSDL=,,,
N,MAXIMO_NZL_FXR_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_NZL_FXR_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_NZL_FXR_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_NZL_FXR_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_NZL_FXR_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_NZL_FXR_SOAP.secure.Username=,FD_OIC_CMN_MAX_USER,,
Y,MAXIMO_NZL_FXR_SOAP.secure.Password=,FD_OIC_CMN_MAX_PASS,,
Y,MAXIMO_NZL_FXR_SOAP.agentDefinition=,FD_OIC_CMN_NZL_AGENT,,
N,,,,
Y,MAXIMO_NZL_GLC_SOAP.connection.WSDL URL=,FD_OIC_MAX_NZL_GLC_URL,,
N,MAXIMO_NZL_GLC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_NZL_GLC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_NZL_GLC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_NZL_GLC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_NZL_GLC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_NZL_GLC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_NZL_GLC_SOAP.secure.Username=,FD_OIC_CMN_MAX_USER,,
Y,MAXIMO_NZL_GLC_SOAP.secure.Password=,FD_OIC_CMN_MAX_PASS,,
Y,MAXIMO_NZL_GLC_SOAP.agentDefinition=,FD_OIC_CMN_NZL_AGENT,,
N,,,,
Y,MAXIMO_NZL_INC_SOAP.connection.WSDL URL=,FD_OIC_MAX_NZL_INC_URL,,
N,MAXIMO_NZL_INC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_NZL_INC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_NZL_INC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_NZL_INC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_NZL_INC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_NZL_INC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_NZL_INC_SOAP.secure.Username=,FD_OIC_CMN_MAX_USER,,
Y,MAXIMO_NZL_INC_SOAP.secure.Password=,FD_OIC_CMN_MAX_PASS,,
Y,MAXIMO_NZL_INC_SOAP.agentDefinition=,FD_OIC_CMN_NZL_AGENT,,
N,,,,
Y,MAXIMO_NZL_INV_SOAP.connection.WSDL URL=,FD_OIC_MAX_NZL_INV_URL,,
N,MAXIMO_NZL_INV_SOAP.connection.Service WSDL=,,,
N,MAXIMO_NZL_INV_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_NZL_INV_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_NZL_INV_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_NZL_INV_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_NZL_INV_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_NZL_INV_SOAP.secure.Username=,FD_OIC_CMN_MAX_USER,,
Y,MAXIMO_NZL_INV_SOAP.secure.Password=,FD_OIC_CMN_MAX_PASS,,
Y,MAXIMO_NZL_INV_SOAP.agentDefinition=,FD_OIC_CMN_NZL_AGENT,,
N,,,,
Y,MAXIMO_NZL_JRL_CTL_SOAP.connection.WSDL URL=,FD_OIC_MAX_NZL_JRL_CTL_URL,,
N,MAXIMO_NZL_JRL_CTL_SOAP.connection.Service WSDL=,,,
N,MAXIMO_NZL_JRL_CTL_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_NZL_JRL_CTL_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_NZL_JRL_CTL_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_NZL_JRL_CTL_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_NZL_JRL_CTL_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_NZL_JRL_CTL_SOAP.secure.Username=,FD_OIC_CMN_MAX_USER,,
Y,MAXIMO_NZL_JRL_CTL_SOAP.secure.Password=,FD_OIC_CMN_MAX_PASS,,
Y,MAXIMO_NZL_JRL_CTL_SOAP.agentDefinition=,FD_OIC_CMN_NZL_AGENT,,
N,,,,
